,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
552,854,58,1.0,42.38566594463822,20.46163237666417,9.0,9,10.0,2008,0.1489038909999999,B,B,9,1952,1,1430.0,3,2,B
2130,6948,74,2.0,74.86889728153449,,1.0,9,17.0,1977,0.309479124,B,B,35,7715,4,990.0,0,6,B
2929,9448,74,1.0,51.220307798433225,,1.0,5,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
1733,4359,34,2.0,60.009485074710426,,1.0,21,1.0,1977,0.069753361,B,B,53,13670,4,,1,11,B
3235,9547,8,1.0,31.20241471022778,20.416058214796795,5.0,5,5.0,1965,0.092290642,B,B,21,4346,2,165.0,1,2,B
1327,8525,110,4.0,93.46569572690274,56.38877243611909,8.0,6,14.0,1996,0.033493708,B,B,66,10573,1,1322.0,3,8,B
2873,10342,21,2.0,48.08121418918256,30.70346445153124,5.0,9,12.0,1971,0.194489265,B,B,47,8004,3,125.0,3,5,B
1580,13013,78,1.0,40.11558620314575,22.172470685671936,9.0,14,17.0,2013,0.092290642,B,B,21,4346,2,165.0,1,2,B
698,5770,140,1.0,31.40718144147225,17.914113959375094,0.0,5,5.0,1962,0.0,B,B,33,7425,1,,2,5,B
3428,13702,21,3.0,71.53277703786016,46.84258765529076,8.0,4,5.0,1963,0.149666373,B,B,22,4789,2,4087.0,4,1,B
3759,3263,101,2.0,44.35734725467226,28.29898531157628,5.0,3,9.0,1968,0.225824954,A,B,41,6558,7,1548.0,3,2,B
953,7339,6,2.0,67.88583505959119,,1.0,12,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
4968,6330,53,3.0,81.68547176028791,77.6083864663902,1.0,3,9.0,2019,0.049637257,B,B,34,7759,0,229.0,1,3,B
281,10104,83,1.0,39.3035014734394,23.284751784919592,8.0,2,14.0,1986,0.0077202819999999,B,B,38,4788,2,,0,4,B
3728,3925,39,1.0,38.00721706717951,20.94000439390626,10.0,5,9.0,1971,0.428825818,B,B,25,5011,8,730.0,0,2,B
1682,12995,1,2.0,56.76417536230892,,1.0,16,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
4551,8415,25,3.0,64.84004800038345,45.27229439758132,9.0,2,12.0,1974,0.188783766,B,B,31,6137,4,,0,1,B
2844,12738,188,2.0,59.416987283868586,35.579565584365895,8.0,25,25.0,1994,0.0,B,B,7,1660,39,1786.0,1,5,B
3226,3260,0,2.0,43.48937802703388,25.097347137255483,5.0,1,5.0,1962,0.319809354,B,B,25,4756,16,2857.0,5,8,B
3421,5922,67,3.0,71.8338652028187,40.89341966339873,8.0,4,16.0,1980,0.100455735,B,B,43,7227,0,,1,6,A
1605,8659,96,2.0,54.13441295038548,29.385070452519127,7.0,9,15.0,2009,0.041116354,B,B,53,14892,4,,1,4,B
1505,5526,12,2.0,62.011142328341045,38.84696284004475,10.0,15,16.0,1980,0.090799103,B,B,74,19083,2,,5,15,B
4046,3726,161,1.0,52.70849383766689,20.502344662972035,11.0,3,7.0,1911,0.014423114,B,B,19,3806,4,,0,3,B
2926,14395,1,2.0,53.01685245822996,52.34048980513396,0.0,6,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
4114,10604,191,1.0,56.7438446417274,32.96492516417073,9.0,15,16.0,1986,0.127375905,B,B,43,8429,3,,3,9,B
1987,2436,28,1.0,33.96336543862852,14.15236709301961,7.0,9,12.0,1988,0.118537385,B,B,30,6207,1,1183.0,1,0,B
700,7633,53,1.0,40.67562653962813,,1.0,21,21.0,1977,0.049637257,B,B,34,7759,0,229.0,1,3,B
48,15509,27,2.0,55.43986118530975,57.52724313175271,10.0,15,17.0,2016,0.011654127,B,B,4,915,0,,0,0,B
893,5358,62,2.0,60.970763187419976,,1.0,5,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
4692,15856,74,2.0,69.26318347353308,,1.0,6,1.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
3023,3738,45,2.0,61.80478095954894,,0.0,18,0.0,1977,0.195781053,B,B,23,5212,6,,3,2,B
2609,14024,198,2.0,47.47728056946219,31.06946596163971,5.0,2,5.0,1970,0.006076152,B,B,30,5285,0,645.0,6,6,B
1351,15490,62,2.0,76.70183447580983,,1.0,9,16.0,1977,0.072157581,B,B,2,629,1,,0,0,A
978,9212,121,3.0,67.35340643632648,47.10108548543403,7.0,12,12.0,1976,0.212515361,B,B,19,3293,16,628.0,3,7,B
3704,15641,34,3.0,76.1071130075688,44.24058219799838,10.0,13,17.0,1997,0.069753361,B,B,53,13670,4,,1,11,B
2351,9977,27,3.0,81.62027632808538,1.4018287229981836,0.0,16,22.0,1977,0.211401214,B,B,9,1892,0,,0,1,B
1164,15823,191,2.0,55.50010085768034,50.16911670319607,8.0,9,16.0,1985,0.127375905,B,B,43,8429,3,,3,9,B
1309,14463,66,3.0,81.19881647278656,46.71482019471125,10.0,13,23.0,2002,0.111627393,B,B,50,12238,8,1970.0,2,3,B
3780,15417,72,2.0,43.40543495209346,25.13024184244349,6.0,6,12.0,1967,0.210473241,B,B,11,2398,2,1994.0,3,0,B
4158,8236,48,2.0,80.6137132884967,82.49179856169965,1.0,20,1.0,2014,0.041124634,B,B,46,9515,5,,1,10,B
2236,5806,8,1.0,36.56453984475184,21.16888468040269,9.0,16,16.0,1983,0.219006007,B,B,28,6746,3,,1,4,B
1944,5849,128,1.0,40.34530251235429,23.75488996161283,7.0,2,17.0,1994,0.0,B,B,27,4798,0,30.0,2,8,B
37,14090,2,1.0,39.08264064099316,33.214357690911484,7.0,10,14.0,1970,0.0,B,B,33,7425,1,,2,5,B
3053,1226,53,2.0,57.32888966738285,,1.0,21,19.0,2016,0.049637257,B,B,34,7759,0,229.0,1,3,B
1595,8676,124,3.0,94.78320843935086,53.60025686792451,10.0,18,22.0,2004,0.122090347,B,B,29,6566,7,1894.0,4,0,B
2058,9365,1,1.0,51.92340545681411,,0.0,8,1.0,1977,0.014580716,B,B,3,760,1,,0,0,B
1893,13493,148,1.0,35.559182370248045,21.150997318509877,5.0,5,5.0,1963,0.313924552,B,B,22,4625,11,3855.0,2,10,B
1055,12910,87,2.0,51.57888136931626,30.71452293668584,8.0,3,17.0,1987,0.100455735,B,B,43,7227,0,,1,6,A
2386,8756,58,1.0,52.02266012831064,,0.0,8,9.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
299,8709,23,2.0,42.1384571014617,,1.0,6,12.0,2013,0.034656082,B,B,0,168,0,,0,0,B
4845,7197,27,3.0,79.55393747573873,,1.0,5,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
3800,13966,17,2.0,65.45798733937059,37.49996785008108,11.0,7,17.0,2010,0.093442564,B,B,23,4635,5,3300.0,2,4,B
3730,15151,120,2.0,76.80188912871292,,1.0,17,1.0,1977,0.341071945,B,B,27,5664,48,2300.0,3,11,B
2534,5912,1,3.0,78.19602387957771,,1.0,12,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
2,960,27,2.0,59.46367829288154,,9.0,19,19.0,1977,0.211401214,B,B,9,1892,0,,0,1,B
236,3191,91,3.0,66.35462195018826,48.75905593327922,9.0,8,12.0,1976,0.333891544,B,B,30,6564,1,,0,0,B
3734,5618,1,1.0,40.88215972549549,41.95073035648368,1.0,17,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1412,14776,55,2.0,56.324101484183686,32.501073649724496,9.0,14,17.0,2000,0.041365446,B,B,31,5569,0,,1,4,B
4426,3932,94,1.0,34.34489776182569,21.173681667032216,6.0,3,9.0,1972,0.282797669,B,B,33,8667,2,,0,6,B
2587,2183,3,3.0,64.8988180904975,47.99286241005129,6.0,8,12.0,1972,0.050900058,B,B,43,10621,1,30.0,2,3,B
1110,2861,98,2.0,48.61217620613429,33.7851576116225,5.0,4,5.0,1966,0.195781053,B,B,23,5212,6,,3,2,B
4865,16152,41,2.0,56.32867275105532,34.23357427403737,8.0,3,16.0,1977,0.036122292,B,B,24,4378,0,1036.0,1,1,B
4232,1965,170,3.0,61.68213894646274,39.23364920606232,6.0,9,9.0,1970,0.21843974,B,B,21,4472,6,1450.0,4,7,A
4075,10905,6,2.0,67.33137527081571,,1.0,14,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
334,92,21,3.0,70.42479628301454,46.60475213335845,9.0,12,12.0,1971,0.194489265,B,B,47,8004,3,125.0,3,5,B
4450,10133,52,1.0,41.77548636490789,,1.0,3,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
1245,14378,2,3.0,78.56146817868941,44.95831529903283,7.0,16,17.0,1972,0.309479124,B,B,35,7715,4,990.0,0,6,B
566,90,51,3.0,75.40175367063244,52.9875244464296,4.0,2,6.0,1931,0.015016892,B,B,17,3079,59,2890.0,0,8,B
2752,8752,1,1.0,43.04298928215899,,1.0,15,22.0,1977,0.007122317,B,B,1,264,0,,0,1,B
3237,2606,124,2.0,62.6282500703456,37.62366396700681,7.0,13,15.0,1978,0.122090347,B,B,29,6566,7,1894.0,4,0,B
3238,1350,48,3.0,97.9307473968295,94.97939621861724,1.0,22,1.0,2017,0.041124634,B,B,46,9515,5,,1,10,B
2442,15080,66,2.0,49.31607362699826,32.0128912202699,6.0,6,9.0,1973,0.111627393,B,B,50,12238,8,1970.0,2,3,B
1043,13209,26,2.0,45.80217285017226,30.49987092903475,5.0,3,5.0,1968,0.0,B,B,36,6714,2,2672.0,0,2,B
3792,15957,28,3.0,85.20469264036402,48.96696835358336,10.0,14,23.0,2007,0.333891544,B,B,30,6564,1,,0,0,B
323,6168,119,2.0,47.82746538271734,31.71677623387681,5.0,3,5.0,1961,0.000995363,B,B,42,7651,1,,1,5,B
1874,7602,1,2.0,65.7304188727696,,1.0,12,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
2737,6957,27,2.0,69.26110488097932,,1.0,10,16.0,2016,0.211401214,B,B,9,1892,0,,0,1,B
1912,10702,100,1.0,34.77799263131417,20.789409410796186,9.0,3,12.0,1970,0.200146802,B,B,23,3975,8,770.0,2,0,B
1807,15775,42,1.0,49.28672213987258,19.2429699524877,10.0,13,24.0,2013,0.158249043,B,B,21,5731,0,,1,0,B
1479,11704,4,2.0,55.94133754638765,35.136442992474535,8.0,3,9.0,1962,0.327018035,B,B,12,2270,23,2500.0,1,0,B
2372,450,27,2.0,66.23566238810594,,0.0,2,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
2880,14780,144,2.0,68.07955919996544,35.14832232351565,11.0,4,17.0,2004,0.306977489,B,B,27,5148,14,1575.0,5,7,B
2203,13370,80,3.0,61.55613729990032,43.99439690268075,5.0,4,9.0,1978,0.0,B,B,39,8647,0,810.0,0,5,B
2548,5962,62,2.0,45.94496610488071,31.70647758127355,5.0,3,5.0,1965,0.072157581,B,B,2,629,1,,0,0,A
2388,7540,187,2.0,69.88848507116914,39.34692300184189,11.0,7,10.0,2003,0.041116354,B,B,53,14892,4,,1,4,B
2470,3275,37,1.0,61.64644399390726,20.153498685780303,16.0,9,10.0,2011,0.127811589,B,B,28,7287,5,320.0,1,3,B
2762,11318,6,3.0,77.24815476069054,,1.0,6,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
1527,3443,27,1.0,47.95298353279465,17.93550254582629,1.0,9,1.0,1977,0.017647053,B,B,2,469,0,,0,0,B
4699,2106,2,2.0,46.312495973999866,31.9538060093018,6.0,8,9.0,1970,0.309479124,B,B,35,7715,4,990.0,0,6,B
210,2074,111,3.0,65.18352658134758,44.662289119219686,7.0,6,12.0,1974,0.135649789,B,B,46,7960,6,350.0,3,11,B
2966,12994,113,2.0,47.73561210782361,30.655237789026103,5.0,5,5.0,1967,0.307466659,B,A,30,5048,9,325.0,2,5,B
3312,4623,128,3.0,77.42607816233556,41.46441800460817,8.0,11,14.0,1991,0.0,B,B,27,4798,0,30.0,2,8,B
4284,2334,105,3.0,57.99859154562751,43.21438845235581,5.0,7,9.0,1970,0.040242764,B,B,25,3478,11,2729.0,3,1,B
1808,4818,53,2.0,44.654890716195816,28.773651338233854,6.0,2,9.0,1969,0.313924552,B,B,22,4625,11,3855.0,2,10,B
4296,13706,23,3.0,81.00345522474205,2.3668688161385183,1.0,5,5.0,2017,0.034656082,B,B,0,168,0,,0,0,B
3276,2649,79,1.0,46.14538172137318,43.34051026340398,10.0,23,25.0,2015,0.307466659,B,A,30,5048,9,325.0,2,5,B
2785,5696,69,3.0,79.080201425295,47.3213028586996,8.0,14,14.0,2002,0.093442564,B,B,23,4635,5,3300.0,2,4,B
2746,4709,52,2.0,51.57555517622665,,1.0,10,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
398,1510,88,3.0,62.36754608180144,45.03172269790953,5.0,9,9.0,1974,0.127375905,B,B,43,8429,3,,3,9,B
490,4558,23,1.0,32.00855803327691,31.81697141768541,1.0,9,17.0,2017,0.034656082,B,B,0,168,0,,0,0,B
1674,4222,55,2.0,57.33727924597143,36.6787410818435,9.0,16,17.0,1998,0.041365446,B,B,31,5569,0,,1,4,B
1648,6561,9,1.0,40.34792614888365,19.86336203694156,9.0,8,16.0,1998,0.161531741,B,B,25,5648,1,30.0,2,4,B
4133,16267,11,2.0,47.35406382884665,31.484406895686817,6.0,2,9.0,1969,0.038692987,B,B,28,6533,1,1015.0,2,5,B
4191,11717,1,2.0,77.01609387494601,77.5320388516305,0.0,10,9.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1667,5988,21,2.0,46.68628452142156,31.22937701663806,5.0,5,5.0,1968,0.194489265,B,B,47,8004,3,125.0,3,5,B
3275,4461,54,1.0,36.43088617628178,20.650500318559672,9.0,5,12.0,1967,0.006076152,B,B,30,5285,0,645.0,6,6,B
703,1903,113,4.0,118.55824526655924,72.28271982485683,10.0,16,17.0,2001,0.060753049,B,B,15,2787,2,520.0,0,7,B
3922,7165,31,2.0,47.89551283249981,27.49388148414318,5.0,4,5.0,1965,0.151346216,B,A,32,5889,10,830.0,4,1,B
789,8891,47,1.0,43.82797973848109,22.509381457447752,7.0,11,17.0,2009,0.197367951,B,B,8,2423,1,32.0,0,1,B
3930,1645,29,1.0,33.3534948427487,22.370452430353648,5.0,4,5.0,1964,0.086885265,B,B,10,2277,2,1547.0,0,0,B
3828,2493,85,1.0,44.66874910326479,,1.0,9,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
2685,3214,1,1.0,42.00672251324847,41.11711742689751,10.0,3,9.0,2017,0.007122317,B,B,1,264,0,,0,1,B
1845,5452,27,1.0,48.58791283401774,42.59618990044878,12.0,3,2.0,2016,0.017647053,B,B,2,469,0,,0,0,B
2302,7987,20,1.0,34.912888500536106,24.65334381632083,5.0,7,9.0,1964,0.019508796,B,B,37,7687,11,176.0,5,5,B
556,15207,62,1.0,37.676875099089,21.00695295752595,6.0,2,9.0,1973,0.002211665,B,B,39,7614,3,,1,5,A
1361,6074,23,2.0,46.079935031323394,32.49088762680458,5.0,4,4.0,1972,0.059456227,B,B,1,362,0,,0,0,B
3205,8981,6,1.0,41.03770686941828,,1.0,10,1.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
4001,12398,32,3.0,65.51255803370036,45.15210020116864,7.0,5,9.0,1970,0.135649789,B,B,46,7960,6,350.0,3,11,B
4770,9167,96,2.0,51.58299683059343,35.96392074686476,8.0,6,10.0,1994,0.041116354,B,B,53,14892,4,,1,4,B
3590,11908,101,2.0,42.884858508302095,24.81938440195423,7.0,10,12.0,1966,0.225824954,A,B,41,6558,7,1548.0,3,2,B
4208,9957,27,2.0,45.284959905239496,31.380893209354163,6.0,1,4.0,1981,0.211401214,B,B,9,1892,0,,0,1,B
596,7814,139,1.0,43.30422228702753,17.906761313805386,8.0,10,9.0,2006,0.122090347,B,B,29,6566,7,1894.0,4,0,B
2518,4729,141,2.0,43.70337950452935,29.13539352830421,6.0,5,5.0,1962,0.0,B,B,23,3684,2,,0,4,B
584,8467,8,3.0,74.48213386679768,45.64719995357787,9.0,16,17.0,1986,0.092290642,B,B,21,4346,2,165.0,1,2,B
4546,2940,153,3.0,79.89680713807911,49.80733177096398,10.0,16,17.0,1995,0.033493708,B,B,66,10573,1,1322.0,3,8,B
4766,3913,85,2.0,48.25130041580021,28.6823102519376,6.0,5,9.0,1981,0.037177818,B,B,52,11217,1,2300.0,1,7,B
480,6396,6,3.0,80.74638250523624,,1.0,12,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
2925,2770,6,1.0,47.5880005756431,,1.0,9,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
762,3386,27,2.0,58.45424202659886,,8.0,11,12.0,1977,0.011654127,B,B,4,915,0,,0,0,B
3968,6766,31,2.0,40.39086137539096,26.30698635575797,6.0,15,14.0,1974,0.151346216,B,A,32,5889,10,830.0,4,1,B
1700,8250,58,1.0,50.26207214305225,1.916946711363057,1.0,10,9.0,2016,0.43788524,B,B,23,5735,3,1084.0,0,5,B
1334,10341,115,2.0,40.85172116250776,25.81134092717684,5.0,2,5.0,1961,1.8e-09,B,B,16,3681,73,1815.0,2,5,B
2779,12991,66,1.0,37.95145107382545,21.826794975998144,9.0,2,14.0,1973,0.111627393,B,B,50,12238,8,1970.0,2,3,B
1203,8848,7,2.0,46.94882213068532,34.991728034968965,6.0,8,12.0,1976,0.130617806,B,B,39,10418,9,900.0,1,9,B
1561,7256,142,1.0,36.72982598419701,20.61223897851105,9.0,7,12.0,1973,0.051942062,B,B,17,4017,7,800.0,2,0,B
1612,3068,1,3.0,82.07236997895968,83.43476522911074,1.0,11,17.0,2017,0.007122317,B,B,1,264,0,,0,1,B
4286,2981,27,2.0,68.5818046685945,66.86041349691662,0.0,13,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
593,9285,74,2.0,75.45352967383243,,1.0,5,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
2840,6209,9,2.0,43.86079994680626,29.22862523799203,5.0,3,5.0,1971,0.161531741,B,B,25,5648,1,30.0,2,4,B
3117,2376,42,2.0,67.72413470103203,34.545854379992235,11.0,9,24.0,2010,0.158249043,B,B,21,5731,0,,1,0,B
3231,14778,32,2.0,57.81089735079002,35.55841295156005,10.0,18,22.0,2004,0.135649789,B,B,46,7960,6,350.0,3,11,B
4812,2444,27,2.0,83.06079587516129,87.19113350190938,10.0,4,6.0,2014,0.07542368,B,B,11,3097,0,,0,0,B
599,3303,74,2.0,80.52475085302316,,0.0,5,0.0,1977,0.309479124,B,B,35,7715,4,990.0,0,6,B
994,5461,155,4.0,86.9559525934521,63.159807766887255,6.0,4,6.0,1938,0.042307271,B,B,17,2810,9,4849.0,3,6,B
406,8700,23,1.0,77.60832784588018,37.35390072103868,15.0,3,3.0,2011,0.014072961,B,B,2,475,0,,0,0,B
4703,12365,129,1.0,39.5496575872604,21.215991140616303,9.0,7,12.0,1969,0.020741326,B,B,24,5613,5,1340.0,2,5,B
1862,2429,44,3.0,65.76224950166058,46.94310181084354,9.0,12,12.0,1967,0.232205084,B,B,24,4860,1,80.0,0,3,B
488,14106,6,2.0,67.93371378171004,,12.0,11,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
666,4752,87,1.0,39.848351944261815,21.247441062324828,8.0,18,17.0,1988,0.100455735,B,B,43,7227,0,,1,6,A
2891,1425,23,2.0,74.25258827355731,,0.0,3,0.0,1977,0.014072961,B,B,2,475,0,,0,0,B
920,10260,6,2.0,66.36818566355153,,0.0,19,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
706,11043,14,2.0,43.48959419399233,30.419860426307466,5.0,4,5.0,1963,0.042031587,B,B,37,6856,84,1940.0,2,5,B
4767,12529,47,1.0,41.9138065319164,19.623610186131916,9.0,12,17.0,2007,0.101872465,B,B,23,4583,3,,3,3,B
2807,14506,58,2.0,65.66502548393277,64.30984311018354,1.0,4,3.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
3921,3315,52,2.0,66.75054266953568,,1.0,14,1.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
275,5464,93,2.0,70.48011132680861,68.61411012153626,12.0,9,17.0,2016,0.050900058,B,B,43,10621,1,30.0,2,3,B
2230,9974,126,1.0,32.10759349977772,18.155673102979765,5.0,4,5.0,1963,0.486245621,B,B,13,2514,19,,0,6,B
3232,1202,26,1.0,42.88195197176105,25.75870380324873,6.0,2,12.0,1966,0.0,B,B,36,6714,2,2672.0,0,2,B
2611,4606,19,1.0,46.72675746606642,19.456422834464387,9.0,26,25.0,2002,0.000991363,B,B,33,6783,3,,1,9,B
459,6998,6,2.0,65.23507155845282,33.84909512683275,13.0,9,17.0,2015,0.243204519,B,B,5,1564,0,540.0,0,0,B
2971,2235,27,2.0,62.83634993460206,4.8123375421822985,1.0,7,22.0,2018,0.211401214,B,B,9,1892,0,,0,1,B
674,9355,58,1.0,36.661313849706985,22.48330909595832,6.0,3,9.0,1972,0.31019913,B,B,11,2748,1,,0,0,B
483,10975,118,2.0,59.111711460305386,34.192309961403,8.0,8,10.0,1959,0.21843974,B,B,21,4472,6,1450.0,4,7,A
4655,2604,53,2.0,40.015627061588894,24.10081746919137,6.0,4,12.0,1971,0.049637257,B,B,34,7759,0,229.0,1,3,B
2460,624,27,2.0,59.94996365942135,,0.0,15,0.0,1977,0.011654127,B,B,4,915,0,,0,0,B
3395,5839,23,1.0,44.28046728110101,,1.0,25,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
577,13991,22,3.0,74.84868812363966,46.46237723081765,10.0,16,17.0,1989,0.133215333,B,B,49,11395,3,1406.0,3,4,A
3453,4393,155,3.0,78.92966137353633,53.51871850151787,6.0,3,5.0,1959,0.042307271,B,B,17,2810,9,4849.0,3,6,B
2325,11513,1,1.0,37.48405677665481,40.59303648295684,0.0,4,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
3609,15559,42,1.0,41.13980719398063,22.072851358346995,8.0,10,9.0,2005,0.158249043,B,B,21,5731,0,,1,0,B
4329,11838,0,1.0,41.38516689233557,17.441228719064224,8.0,14,17.0,2011,0.006076152,B,B,30,5285,0,645.0,6,6,B
1070,7986,1,1.0,42.6070895518941,21.49682631727308,8.0,9,14.0,1995,0.025609157,B,B,33,5261,0,240.0,3,1,B
936,8463,19,2.0,59.022182503946425,33.89148855713637,11.0,11,14.0,2006,0.309479124,B,B,35,7715,4,990.0,0,6,B
2617,14557,148,2.0,61.91799412891511,,10.0,10,17.0,1977,0.313924552,B,B,22,4625,11,3855.0,2,10,B
4651,6427,35,1.0,34.78264511693794,18.128566770165705,7.0,9,9.0,1971,0.089039719,B,B,33,7976,5,,0,11,B
2313,14834,27,3.0,56.310351326127424,,0.0,19,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
2223,10435,67,2.0,52.1193655125217,33.24378032009347,6.0,8,12.0,1979,0.100455735,B,B,43,7227,0,,1,6,A
3984,7371,27,2.0,62.8270114526808,59.63789391426993,10.0,10,10.0,2013,0.011654127,B,B,4,915,0,,0,0,B
3965,5669,67,2.0,48.177732028495406,29.18953073356276,6.0,8,9.0,1975,0.100455735,B,B,43,7227,0,,1,6,A
3359,9152,1,3.0,87.92732662441912,45.85103534318839,10.0,12,16.0,2007,0.025609157,B,B,33,5261,0,240.0,3,1,B
1367,12392,62,1.0,55.84610742974685,58.35488345541385,10.0,11,10.0,1977,0.072157581,B,B,2,629,1,,0,0,A
1603,1298,62,1.0,43.070323311856775,20.889422244418704,10.0,10,17.0,2010,0.072157581,B,B,2,629,1,,0,0,A
2056,11904,96,3.0,83.93810357291099,48.96388524758562,10.0,16,17.0,2005,0.041116354,B,B,53,14892,4,,1,4,B
325,8086,30,1.0,38.5997459509462,,1.0,12,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
2281,2045,11,2.0,41.64375505408059,23.42782809702064,6.0,4,12.0,1975,0.0001696759999999,B,B,36,5992,0,,1,1,B
4755,10823,6,1.0,43.23284427483485,,0.0,9,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
2597,12705,7,2.0,47.67830888001247,29.57709458559742,5.0,5,5.0,1968,0.130617806,B,B,39,10418,9,900.0,1,9,B
2528,15199,119,1.0,33.05345305875188,20.1091822914892,5.0,4,5.0,1962,0.000995363,B,B,42,7651,1,,1,5,B
4362,3352,113,1.0,78.24039417529103,75.5955757782687,0.0,5,12.0,2017,0.050755569,B,B,24,5469,1,145.0,0,1,B
2565,9671,45,2.0,75.62161610122911,62.88656908678546,1.0,15,14.0,2015,0.195781053,B,B,23,5212,6,,3,2,B
1779,9187,74,2.0,78.31081691750703,,1.0,17,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
760,15092,34,3.0,84.91865614321237,,10.0,14,20.0,1977,0.069753361,B,B,53,13670,4,,1,11,B
4105,3425,27,1.0,41.58102024974895,,1.0,9,12.0,1977,0.011654127,B,B,4,915,0,,0,0,B
162,6885,39,2.0,49.41694304254325,30.89847588936724,5.0,5,5.0,1975,0.428825818,B,B,25,5011,8,730.0,0,2,B
15,10588,113,2.0,71.82875388902875,35.714191403901594,10.0,6,22.0,2004,0.050755569,B,B,24,5469,1,145.0,0,1,B
2964,2707,90,1.0,32.17950823610673,23.20995134466448,5.0,4,5.0,1969,0.265088676,B,B,37,5288,0,1937.0,3,2,B
3129,320,100,2.0,50.35158693988082,31.39375003766573,8.0,7,12.0,1967,0.049863387,B,B,18,3746,9,75.0,3,1,B
1493,16091,33,3.0,64.4078911861627,43.14947295984353,7.0,9,9.0,1967,0.051942062,B,B,17,4017,7,800.0,2,0,B
3143,312,1,1.0,34.56256530415638,22.74662917284521,6.0,2,5.0,1975,0.036270089,B,B,6,1318,1,200.0,1,1,B
3601,2860,58,2.0,62.76499291354574,33.6541330807924,11.0,7,10.0,2003,0.31019913,B,B,11,2748,1,,0,0,B
1875,15682,32,2.0,52.514735766145314,33.80702562498578,6.0,9,9.0,1977,0.135649789,B,B,46,7960,6,350.0,3,11,B
4800,6765,27,2.0,41.07012044162251,,0.0,5,12.0,1977,0.072157581,B,B,2,629,1,,0,0,A
4346,2767,101,2.0,43.566380697249066,26.934369965365967,6.0,6,12.0,1971,0.038692987,B,B,28,6533,1,1015.0,2,5,B
2167,12728,167,3.0,76.86868822636947,49.01506935254587,9.0,8,9.0,1976,0.050272014,B,B,21,4231,14,1020.0,0,3,B
774,12223,53,3.0,77.99182738418466,48.48124954632401,10.0,9,16.0,1982,0.049637257,B,B,34,7759,0,229.0,1,3,B
4940,14486,123,2.0,85.99769653662962,45.55308920451751,12.0,10,18.0,2008,0.0,B,B,6,2733,0,920.0,0,4,B
2002,16552,77,1.0,39.07562651405264,24.667401018065,8.0,10,16.0,1977,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
3156,12879,23,2.0,64.05254615915153,,1.0,12,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
8,4510,1,1.0,43.15376113882693,21.017595539577567,9.0,10,17.0,2014,0.007122317,B,B,1,264,0,,0,1,B
3611,27,21,1.0,35.55122923164247,22.80374032026064,6.0,10,9.0,1980,0.194489265,B,B,47,8004,3,125.0,3,5,B
1594,3859,173,3.0,77.04126152952712,55.99666593560924,7.0,6,5.0,1932,0.081943463,B,B,20,2738,20,,1,4,B
2648,11593,6,1.0,41.4685227245276,39.270827749538,1.0,5,17.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B
2136,5446,1,2.0,55.76885902226305,,1.0,15,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
3884,2575,160,3.0,77.13959004250516,44.8436352934845,10.0,5,17.0,1999,0.0,B,B,39,8647,0,810.0,0,5,B
